,longitude,latitude,housing_median_age,population,median_income,median_house_value,ocean_proximity,rooms_per_person,houses_per_person
0,-122.23,37.88,41.0,322.0,8.3252,452600.0,3,2.732919254658385,0.391304347826087
1,-122.22,37.86,21.0,2401.0,8.3014,358500.0,3,2.9566847147022073,0.4739691795085381
8,-122.26,37.84,42.0,1206.0,2.0804,226700.0,3,2.1185737976782755,0.49336650082918737
15,-122.26,37.85,50.0,697.0,2.125,140000.0,3,1.6068866571018652,0.3787661406025825
18,-122.26,37.84,50.0,990.0,1.9911,158700.0,3,2.2616161616161614,0.42323232323232324
20,-122.27,37.85,40.0,409.0,1.3578,147500.0,3,1.8361858190709046,0.4058679706601467
21,-122.27,37.85,42.0,929.0,1.7135,159800.0,3,1.7642626480086114,0.3939720129171152
25,-122.28,37.85,41.0,317.0,2.4038,107500.0,3,1.6876971608832807,0.3753943217665615
26,-122.28,37.85,49.0,607.0,2.4597,93800.0,3,1.8616144975288302,0.39373970345963755
28,-122.28,37.84,50.0,1131.0,1.6424,108900.0,3,1.8408488063660478,0.4182139699381079
30,-122.28,37.84,49.0,863.0,1.9274,122300.0,3,2.220162224797219,0.4380069524913094
32,-122.27,37.84,48.0,1026.0,1.7969,110400.0,3,1.8732943469785575,0.32651072124756336
33,-122.27,37.83,49.0,754.0,1.375,104900.0,3,2.1949602122015914,0.4363395225464191
35,-122.27,37.83,49.0,570.0,1.4861,97200.0,3,2.1315789473684212,0.4631578947368421
36,-122.27,37.83,48.0,987.0,1.0972,104500.0,3,1.8216818642350556,0.3789260385005066
42,-122.26,37.84,49.0,462.0,1.025,118800.0,3,1.5432900432900434,0.4090909090909091
46,-122.26,37.83,50.0,616.0,2.026,142500.0,3,1.8262987012987013,0.4935064935064935
47,-122.27,37.82,43.0,558.0,1.7348,137500.0,3,1.8046594982078854,0.45340501792114696
48,-122.26,37.82,40.0,423.0,0.9506,187500.0,3,1.475177304964539,0.37825059101654845
49,-122.27,37.82,40.0,700.0,1.775,112500.0,3,1.3514285714285714,0.5028571428571429
50,-122.27,37.82,21.0,735.0,0.9218,171900.0,3,1.2190476190476192,0.5959183673469388
51,-122.27,37.82,43.0,1061.0,1.5045,93800.0,3,1.7606032045240338,0.3836003770028275
52,-122.27,37.82,41.0,1959.0,1.1108,97500.0,3,1.6442062276671772,0.3675344563552833
59,-122.29,37.82,2.0,94.0,2.5625,60000.0,3,1.6808510638297873,0.6063829787234043
61,-122.29,37.82,49.0,86.0,6.1183,75000.0,3,1.569767441860465,0.26744186046511625
62,-122.29,37.81,50.0,377.0,0.9011,86100.0,3,2.0159151193633953,0.32360742705570295
64,-122.3,37.81,48.0,392.0,2.5938,73500.0,3,2.1122448979591835,0.3392857142857143
66,-122.3,37.81,48.0,788.0,0.8056,84400.0,3,1.8464467005076142,0.4213197969543147
69,-122.29,37.81,46.0,1823.0,0.9802,129200.0,3,1.5364783324190894,0.3351618211738892
70,-122.29,37.81,26.0,392.0,1.7719,82500.0,3,1.9591836734693877,0.3239795918367347
71,-122.29,37.81,46.0,582.0,0.7286,95200.0,3,1.6065292096219932,0.47594501718213056
72,-122.29,37.81,49.0,560.0,1.75,75000.0,3,1.5071428571428571,0.2714285714285714
73,-122.29,37.81,46.0,18.0,0.4999,67500.0,3,0.6666666666666666,0.3888888888888889
74,-122.29,37.81,20.0,290.0,2.483,137500.0,3,2.8793103448275863,0.4586206896551724
75,-122.28,37.81,17.0,762.0,0.9241,177500.0,3,1.6233595800524934,0.5761154855643045
76,-122.28,37.81,36.0,1236.0,2.4464,102100.0,3,2.3576051779935274,0.41181229773462785
77,-122.28,37.81,19.0,721.0,1.1111,108300.0,3,1.6740638002773924,0.2871012482662968
78,-122.29,37.81,23.0,1054.0,0.8026,112500.0,3,1.6555977229601517,0.3083491461100569
79,-122.28,37.8,38.0,344.0,2.0114,131300.0,3,1.9883720930232558,0.45058139534883723
80,-122.28,37.81,17.0,609.0,1.5,162500.0,3,1.5172413793103448,0.4745484400656814
84,-122.28,37.81,35.0,467.0,1.8088,118800.0,3,2.0299785867237685,0.3618843683083512
86,-122.27,37.81,40.0,582.0,0.977,118800.0,3,1.5120274914089347,0.6529209621993127
87,-122.27,37.81,10.0,546.0,0.76,162500.0,3,1.6025641025641026,0.6043956043956044
88,-122.27,37.8,10.0,125.0,0.9722,137500.0,3,0.84,0.312
90,-122.27,37.8,16.0,800.0,2.0938,162500.0,3,1.2425,0.4525
93,-122.27,37.79,27.0,718.0,2.6354,187500.0,3,1.4693593314763231,0.4206128133704735
94,-122.27,37.8,39.0,1327.0,1.8477,179200.0,3,1.2923888470233609,0.3519216277317257
95,-122.26,37.8,36.0,3469.0,2.0096,130000.0,3,1.5361775727875469,0.6696454309599308
96,-122.26,37.82,31.0,2048.0,2.8345,183800.0,3,2.244140625,0.576171875
97,-122.26,37.81,29.0,202.0,2.0062,125000.0,3,1.6584158415841583,0.4504950495049505
98,-122.26,37.82,22.0,2024.0,1.2185,170000.0,3,1.8191699604743083,0.6175889328063241
99,-122.26,37.82,37.0,1838.0,2.6104,193100.0,3,1.9766050054406965,0.5331882480957563
100,-122.25,37.81,29.0,2304.0,2.4912,257800.0,3,2.0208333333333335,0.5425347222222222
101,-122.25,37.81,28.0,2563.0,3.2177,273400.0,3,2.2653140850565743,0.5840811548966055
102,-122.25,37.81,39.0,389.0,3.125,237500.0,3,2.1953727506426737,0.5861182519280206
104,-122.26,37.81,34.0,2689.0,2.8406,335700.0,3,2.183339531424321,0.665303086649312
109,-122.25,37.82,28.0,1520.0,3.9063,225000.0,3,2.1953947368421054,0.5276315789473685
111,-122.25,37.82,32.0,1806.0,2.6429,218500.0,3,2.1090808416389812,0.5658914728682171
112,-122.25,37.82,26.0,1749.0,3.0233,255000.0,3,2.26357918810749,0.6958261863922242
114,-122.25,37.83,35.0,675.0,3.4722,243100.0,3,2.3896296296296295,0.6251851851851852
116,-122.25,37.83,28.0,2558.0,2.4234,218500.0,3,1.9632525410476935,0.6493354182955434
118,-122.23,37.84,50.0,970.0,5.8596,327600.0,3,2.5927835051546393,0.3845360824742268
119,-122.23,37.84,47.0,1098.0,5.2868,347600.0,3,2.8916211293260474,0.44171220400728595
120,-122.24,37.83,41.0,794.0,5.956,366100.0,3,3.2443324937027707,0.473551637279597
121,-122.24,37.85,37.0,98.0,4.9643,335000.0,3,3.4081632653061225,0.47959183673469385
125,-122.22,37.85,28.0,2031.0,5.457,337300.0,3,2.603151157065485,0.4707040866568193
